action,x,y,timestamp,extra1,extra2
move,1054,346,1725102761.0887861,,
move,1058,342,1725102761.0979137,,
move,1060,339,1725102761.105158,,
move,1063,336,1725102761.1137302,,
move,1065,333,1725102761.1183825,,
scroll,1065,333,1725102761.1209576,0,-1
scroll,1065,333,1725102761.1223028,0,-1
move,1068,331,1725102761.1276705,,
move,1070,329,1725102761.1305804,,
scroll,1070,329,1725102761.1360307,0,-1
move,1073,328,1725102761.1381998,,
move,1073,327,1725102761.1478522,,
move,1075,326,1725102761.1496248,,
move,1077,325,1725102761.1587992,,
scroll,1077,325,1725102761.1679716,0,-1
move,1077,325,1725102761.1679716,,
scroll,1077,325,1725102761.1705468,0,-1
move,1078,324,1725102761.1750789,,
move,1079,323,1725102761.1798027,,
move,1079,323,1725102761.1879864,,
move,1080,323,1725102761.1901073,,
move,1081,322,1725102761.1982687,,
move,1082,322,1725102761.2077398,,
move,1082,322,1725102761.212956,,
move,1083,322,1725102761.2276437,,
move,1084,322,1725102761.2371974,,
move,1084,322,1725102761.2477167,,
move,1085,323,1725102761.2717836,,
move,1086,324,1725102761.2779007,,
move,1087,324,1725102761.2979064,,
move,1087,325,1725102761.3014233,,
move,1087,326,1725102761.3094285,,
move,1087,326,1725102761.3176687,,
move,1088,328,1725102761.3317924,,
move,1088,329,1725102761.3401275,,
move,1088,329,1725102761.3401275,,
move,1088,331,1725102761.3496525,,
move,1088,332,1725102761.3578174,,
move,1088,333,1725102761.3669622,,
move,1088,334,1725102761.373967,,
move,1088,335,1725102761.3802822,,
move,1088,336,1725102761.3876143,,
move,1088,337,1725102761.393881,,
move,1088,337,1725102761.3988085,,
move,1088,338,1725102761.4088497,,
move,1088,339,1725102761.415481,,
move,1088,340,1725102761.4192364,,
move,1088,340,1725102761.427637,,
move,1088,341,1725102761.4413679,,
move,1088,342,1725102761.4583335,,
scroll,1088,342,1725102761.9727716,0,-1
scroll,1088,342,1725102761.9887388,0,-1
scroll,1088,342,1725102762.0176785,0,-1
scroll,1088,342,1725102762.0176785,0,-1
scroll,1088,342,1725102762.0176785,0,-1
scroll,1556,355,1725102762.0378723,0,-1
move,1546,375,1725102762.3202746,,
scroll,1546,375,1725102762.4089675,0,-1
scroll,1546,375,1725102762.4089675,0,-1
scroll,1546,375,1725102762.4209151,0,-1
scroll,1546,376,1725102762.4388351,0,-1
scroll,1546,377,1725102762.4698412,0,-1
move,1255,459,1725102762.7385108,,
click,1153,499,1725102762.8185494,Button.left,True
click,1153,499,1725102762.9171865,Button.left,False
move,1152,499,1725102763.4875524,,
move,1152,499,1725102764.4390912,,
move,1151,499,1725102764.6780772,,
move,1150,499,1725102764.9085324,,
move,1150,500,1725102765.3276713,,
move,1150,501,1725102765.5578089,,
move,438,523,1725102766.1711073,,
move,438,523,1725102766.8879087,,
move,438,522,1725102766.9079778,,
move,438,521,1725102766.9213238,,
move,438,521,1725102766.9385915,,
move,438,520,1725102766.9521995,,
move,438,519,1725102766.977142,,
move,438,519,1725102766.9900208,,
move,438,518,1725102766.9981863,,
move,437,518,1725102767.02339,,
move,437,517,1725102767.030453,,
move,437,516,1725102767.2579248,,
move,437,516,1725102767.338445,,
move,437,515,1725102767.3944395,,
move,437,514,1725102767.4086053,,
move,437,514,1725102767.4175384,,
move,437,513,1725102767.4480166,,
move,437,512,1725102767.4619212,,
move,437,511,1725102767.4770706,,
move,437,511,1725102767.4978106,,
move,437,510,1725102767.5076008,,
move,437,509,1725102767.518382,,
move,437,509,1725102767.5279448,,
move,437,508,1725102767.538785,,
move,437,507,1725102767.5453005,,
move,437,506,1725102767.5522354,,
move,437,506,1725102767.5587647,,
move,437,504,1725102767.5656831,,
move,437,504,1725102767.57312,,
move,437,503,1725102767.5796404,,
move,438,501,1725102767.5864289,,
move,438,501,1725102767.5879755,,
move,438,500,1725102767.6004999,,
move,438,499,1725102767.6071951,,
move,438,498,1725102767.614187,,
move,438,498,1725102767.621355,,
move,438,497,1725102767.6276457,,
move,438,496,1725102767.6302907,,
move,438,496,1725102767.639022,,
move,438,495,1725102767.6476264,,
move,438,494,1725102767.6515257,,
move,438,493,1725102767.667565,,
move,438,493,1725102767.6717322,,
move,438,491,1725102767.6787212,,
move,438,490,1725102767.6884031,,
move,439,490,1725102767.6947994,,
move,439,489,1725102767.7011025,,
move,440,487,1725102767.7094257,,
move,441,486,1725102767.7168517,,
move,444,483,1725102767.7192118,,
move,449,475,1725102767.728308,,
move,458,464,1725102767.737771,,
move,468,454,1725102767.7390218,,
move,482,437,1725102767.750785,,
move,495,421,1725102767.757855,,
move,514,404,1725102767.7650707,,
move,536,386,1725102767.768527,,
move,551,372,1725102767.7788298,,
move,564,361,1725102767.7822337,,
move,576,351,1725102767.791017,,
move,587,342,1725102767.7990913,,
move,598,334,1725102767.8021297,,
